;Course;Distance;Coordinate
1;313.71°;1.86nm;"N  6°59.7082' - E 79°48.9200'"
2;232.81°;13.12nm;"N  6°51.7802' - E 79°38.3974'"
3;166.02°;43.35nm;"N  6°09.7472' - E 79°48.9200'"
4;138.41°;31.73nm;"N  5°46.0251' - E 80°10.0732'"
5;102.40°;34.45nm;"N  5°38.6152' - E 80°43.8534'"
6;86.60°;862.44nm;"N  6°18.6290' - E 95°09.4184'"
7;109.19°;196.53nm;"N  5°13.5671' - E 98°15.6432'"
8;132.21°;202.26nm;"N  2°57.5304' - E100°45.5016'"
9;122.98°;11.80nm;"N  2°51.1117' - E100°55.4054'"
10;135.81°;5.29nm;"N  2°47.3233' - E100°59.0930'"
11;117.01°;29.44nm;"N  2°33.9572' - E101°25.3277'"
12;129.67°;63.53nm;"N  1°53.4245' - E102°14.2147'"
13;115.01°;37.32nm;"N  1°37.6535' - E102°48.0236'"
14;123.00°;27.55nm;"N  1°22.6585' - E103°11.1213'"
15;131.35°;15.88nm;"N  1°12.1743' - E103°23.0352'"
16;121.53°;18.35nm;"N  1°02.5853' - E103°38.6659'"
17;91.69°;1.05nm;"N  1°02.5542' - E103°39.7171'"
18;55.10°;4.17nm;"N  1°04.9391' - E103°43.1361'"
19;42.74°;3.70nm;"N  1°07.6579' - E103°45.6487'"
20;53.63°;3.30nm;"N  1°09.6135' - E103°48.3044'"
21;65.09°;10.61nm;"N  1°14.0812' - E103°57.9254'"
22;82.89°;5.53nm;"N  1°14.7648' - E104°03.4117'"
23;83.04°;11.83nm;"N  1°16.1957' - E104°15.1478'"
24;78.58°;4.90nm;"N  1°17.1655' - E104°19.9503'"
25;48.61°;10.09nm;"N  1°23.8326' - E104°27.5181'"
26;49.78°;20.35nm;"N  1°36.9635' - E104°43.0550'"
27;20.32°;103.89nm;"N  3°14.3010' - E105°19.1634'"
28;37.02°;959.54nm;"N 15°53.2841' - E115°14.6059'"
29;47.05°;499.06nm;"N 21°26.6864' - E121°46.2543'"
30;12.77°;198.04nm;"N 24°39.5636' - E122°34.3510'"
31;29.21°;620.55nm;"N 33°33.3761' - E128°36.1704'"
32;49.46°;288.39nm;"N 36°35.7611' - E133°08.8771'"
33;46.95°;407.59nm;"N 41°03.2401' - E139°43.4665'"
34;57.01°;38.67nm;"N 41°24.1481' - E140°26.6740'"
35;126.07°;14.71nm;"N 41°15.4762' - E140°42.4771'"
36;179.69°;8.70nm;"N 41°06.7782' - E140°42.5405'"
37;174.02°;13.99nm;"N 40°52.8709' - E140°44.4679'"
38;145.17°;0.22nm;"N 40°52.6868' - E140°44.6373'"
